season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual
1,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3
1,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8
1,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5
1,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3
1,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0
1,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0
1,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2
1,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1
1,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1
1,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8
1,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12
1,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26
1,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29
1,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47
1,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35
1,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40
1,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41
1,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15
1,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9
1,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6
1,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11
1,1,21,0,6,0,2,0.4,0.4091,0.87,0.19399999999999998,3
1,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11
1,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15
1,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4
1,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1
1,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1
1,1,3,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2
1,1,4,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2
1,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0
1,1,7,0,0,0,2,0.4,0.4091,0.76,0.19399999999999998,0
1,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0
1,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1
1,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7
1,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16
1,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20
1,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11
1,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,4
1,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19
1,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9
1,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,7
