Method,Test MAE,Test MSE,Test R2,Train MAE,Train MSE,Train R2
GLM: Linear,23.98527059039346,1270.1737319809836,0.4472251963776077,24.963552006650687,1368.676933974085,0.44443456930048064
GLM: Poisson,20.64133219176579,1228.8979641299602,0.46518825441741496,21.725906381791507,1354.0055260771662,0.4503899023998359
GLM: Tweedie,20.661129717066284,1254.3043577608903,0.4541314880109901,21.755166550419546,1383.3742519187124,0.43846871894430783
GLM Stack,18.40168316303483,930.0128792772874,0.5952619127880887,19.15462841051708,974.8010631917457,0.6043143863424487
Random Forest,12.279361367843434,488.18262206388863,0.7875447694683779,12.528727801155991,496.2131667010485,0.7985800192624126
ExtraTrees,13.657356595990636,556.4469061516659,0.7578364112485992,13.864639425541059,563.8100482011452,0.7711414838035717
XGB: Squared Error,9.789120946433695,264.91850304155776,0.8847084695521575,8.138433190085685,172.37093914664328,0.9300321846083667
XGB: Pseudo Huber,11.468745928152675,397.0924086928124,0.8271868857713093,10.354974845161571,365.96660883558786,0.851448949264432
XGB: Gamma,9.624599707775927,306.2160086317871,0.8667359513304728,9.25393341380773,287.6685757093933,0.8832312343434784
XGB: Poisson,9.124608730715115,259.7385573411667,0.8869627623274007,8.332700216179024,199.90445084557265,0.9188559406708944
XGB: Tweedie,8.759953045449139,243.66849310453588,0.8939563934968539,7.135302609531158,149.31647174587752,0.9393903207711969
LGBM: Squared Error,9.476403421388842,256.8027046606927,0.8882404343088408,8.243337247965737,181.15004372471637,0.926468621217325
LGBM: Absolute Error,9.756067863278448,321.2060382504668,0.8602123471414329,9.071151660663586,302.75278640064806,0.8771083387196614
LGBM: Huber,12.235214586558,707.6810758535105,0.6920198726499374,12.561271917175766,752.7407546894275,0.6944518233606534
LGBM: Quantile,17.72782450178288,795.468883653798,0.653814950759795,17.39608311769114,816.7006265537259,0.6684896018328901
LGBM: Poisson,9.12019759765988,252.65769525144373,0.8900443267249099,8.706160392911514,218.42333720614963,0.9113388613502721
LGBM: Tweedie,9.094408751824975,258.47793856032877,0.887511378852428,8.419235855668752,212.38442443571446,0.9137901419198379
