Encoder,Ensemble,Test Acc,Test B Acc,Test F1,Train Acc,Train B Acc,Train F1
OneHotEncoder,RandomForestClassifier,0.8622542997542998,0.7655314691129073,0.6691257838436001,0.8752303439803439,0.7831370195141146,0.700405604719764
OrdinalEncoder,RandomForestClassifier,0.8607186732186732,0.7560110237822635,0.656829360575104,0.8735795454545454,0.7730202298075186,0.6881333459607917
TargetEncoder,RandomForestClassifier,0.8637899262899262,0.7737427563793697,0.6794362125045175,0.8811041154791155,0.7973952367337407,0.7204116638078902
OneHotEncoder,LGBMClassifier,0.8736179361179361,0.8018137390845397,0.7163047225094794,0.8907785626535627,0.8241654128945202,0.7542116630669548
OrdinalEncoder,LGBMClassifier,0.8743857493857494,0.8021010050305755,0.7173462335867312,0.8924293611793612,0.8248719943469938,0.7567285987150547
TargetEncoder,LGBMClassifier,0.8728501228501229,0.7962898408817787,0.7104895104895104,0.8859029484029484,0.8145354393884534,0.7407988836560265
OneHotEncoder,XGBClassifier,0.8746928746928747,0.7994666794742091,0.7152826238660154,0.8955006142506142,0.8292883027138903,0.7638382786743015
OrdinalEncoder,XGBClassifier,0.8726965601965602,0.7985888722080978,0.7124523066250433,0.890625,0.8227588024476211,0.7529268927239615
TargetEncoder,XGBClassifier,0.8746928746928747,0.8016486095811779,0.7172557172557172,0.898264742014742,0.8339918634267864,0.7707612456747405
,CatBoostClassifier,0.870085995085995,0.7962157327231159,0.7076710435383552,0.8879760442260443,0.8197085365109128,0.7474030470914129
