gender,department_name,assignment_category,employee_position_title,underfilled_job_title,year_first_hired,salary
F,Department of Environmental Protection,Fulltime-Regular,Program Specialist II,,2013,75362.93
F,Department of Recreation,Fulltime-Regular,Recreation Supervisor,,1997,79522.62
F,Department of Transportation,Fulltime-Regular,Bus Operator,,2014,42053.83
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,1995,114587.02
F,Department of Public Libraries,Fulltime-Regular,Library Assistant I,,1996,55139.67
M,Department of Liquor Control,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,,2006,39834.51
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2012,59302.0
M,Fire and Rescue Services,Fulltime-Regular,Master Firefighter/Rescuer,,1993,91969.07
M,Department of Technology Services,Fulltime-Regular,Communications Equipment Technician II,,1989,83497.98
F,Department of Health and Human Services,Fulltime-Regular,Manager II,,1992,156525.0
M,Department of Police,Fulltime-Regular,Assistant Chief of Police,,1988,174166.0
F,Department of Police,Fulltime-Regular,Administrative Specialist II,,2001,112337.0
F,Department of Liquor Control,Parttime-Regular,Fiscal Assistant,,1988,34611.09
M,Department of Transportation,Fulltime-Regular,Equipment Operator I,,2007,46325.1
M,Department of General Services,Fulltime-Regular,Construction Representative III,,2004,93396.0
M,Department of Police,Fulltime-Regular,Police Officer III,,1994,92756.7
M,Department of Liquor Control,Parttime-Regular,Liquor Store Clerk I,,2011,29779.07
M,Department of Technology Services,Fulltime-Regular,Manager III,,2002,135378.04
F,Correction and Rehabilitation,Fulltime-Regular,Manager III,,2007,117137.25
F,Department of Permitting Services,Fulltime-Regular,Environmental Health Specialist III,,2001,97912.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2013,43525.72
F,Department of Health and Human Services,Fulltime-Regular,Administrative Specialist III,,2013,60402.66
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Lieutenant,,2000,97755.0
M,Department of Transportation,Fulltime-Regular,Highway Construction Field Supervisor,,1991,97912.0
F,Correction and Rehabilitation,Fulltime-Regular,Accountant/Auditor III,,2012,85524.82
M,Department of General Services,Fulltime-Regular,HVAC Mechanic I,,2004,73801.0
M,Department of General Services,Fulltime-Regular,Program Manager II,,2012,90871.7
